random_state,cluster_hdbscan,n,pct_total,superficie_util_mediana,superficie_util_media,superficie_util_p25,superficie_util_p75,u_norm_muro_principal_mediana,u_norm_muro_principal_media,u_norm_muro_principal_p25,u_norm_muro_principal_p75,u_norm_muro_secundario_mediana,u_norm_muro_secundario_media,u_norm_muro_secundario_p25,u_norm_muro_secundario_p75,u_norm_techo_principal_mediana,u_norm_techo_principal_media,u_norm_techo_principal_p25,u_norm_techo_principal_p75,u_norm_techo_secundario_mediana,u_norm_techo_secundario_media,u_norm_techo_secundario_p25,u_norm_techo_secundario_p75,log_calef_proyec_kwh_mediana,log_calef_proyec_kwh_media,log_calef_proyec_kwh_p25,log_calef_proyec_kwh_p75,log_acs_proyec_kwh_mediana,log_acs_proyec_kwh_media,log_acs_proyec_kwh_p25,log_acs_proyec_kwh_p75,calef_proyec_kwh_mediana,calef_proyec_kwh_media,calef_proyec_kwh_p25,calef_proyec_kwh_p75,acs_proyec_kwh_mediana,acs_proyec_kwh_media,acs_proyec_kwh_p25,acs_proyec_kwh_p75,zona_termica_moda,zona_termica_pct_moda,tipo_inmueble_moda,tipo_inmueble_pct_moda,etiqueta_arquetipo_preliminar
104,34,177,1.77,57.8,57.85254237288135,55.5,59.5,1.7,1.6999999999999995,1.7,1.7,1.7,1.6999999999999995,1.7,1.7,0.38,0.37999999999999995,0.38,0.38,0.38,0.37999999999999995,0.38,0.38,8.768309822358763,8.74618459115185,8.570733958344267,8.952734767106872,7.934191062346272,7.933525164416372,7.904445577924863,7.956441758880521,6426.3,6499.040112994351,5274.0,7728.0,2790.1,2791.190960451977,2708.3,2852.9,d,100.0,casa_pareada,100.0,casa_pareada | d | sup_mediana 58 m2 | calef: 6426 kWh | acs: 2790 kWh
104,35,57,0.5700000000000001,39.4,39.25263157894737,29.6,48.6,1.9,1.9000000000000001,1.9,1.9,1.9,1.9000000000000001,1.9,1.9,0.47,0.46999999999999986,0.47,0.47,0.47,0.46999999999999986,0.47,0.47,7.185159717022784,7.2091086422123976,6.932935577512436,7.524831022590787,10.563194281993733,10.519641883678121,10.456130515302666,10.58249016872985,1318.7,1444.8070175438597,1024.5,1852.5,38683.5,37265.62807017544,34755.8,39437.2,d,100.0,depto,100.0,depto | d | sup_mediana 39 m2 | calef: 1319 kWh | acs: 38684 kWh
104,36,369,3.6900000000000004,30.1,30.353658536585368,29.0,31.7,1.9,1.8999999999999997,1.9,1.9,1.9,1.8999999999999997,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,7.186068601429818,7.218587729839089,6.829144878400226,7.51990930033255,7.372809178501959,7.3470202494538395,7.201096309285597,7.483750474731224,1319.9,1510.1650406504066,923.4,1843.4,1591.1,1571.6531165311653,1339.9,1777.9,d,100.0,depto,100.0,depto | d | sup_mediana 30 m2 | calef: 1320 kWh | acs: 1591 kWh
104,37,1505,15.049999999999999,49.4,49.66279069767442,47.2,51.7,1.9,1.8999999999999997,1.9,1.9,1.9,1.8999999999999997,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,8.296147438184175,8.26110652145684,7.8619196632843735,8.688318975449457,7.815328120236569,7.8035480941308775,7.779676063120352,7.856629360752312,4007.4,4452.076544850498,2595.5,5932.2,2477.3,2461.032823920266,2390.5,2581.8,d,100.0,depto,100.0,depto | d | sup_mediana 49 m2 | calef: 4007 kWh | acs: 2477 kWh
105,-1,618,6.18,54.7,61.15954692556634,49.0,69.44999999999999,1.7,2.458484349258649,1.7,3.0,1.7,2.458484349258649,1.7,3.0,0.38,0.4990115321252059,0.38,0.6,0.38,0.4990115321252059,0.38,0.6,8.67784933379537,7.935348914479227,7.7459971691774285,9.434401001593166,7.984530418041627,7.326800194814805,7.763531382990301,8.164225652265827,5870.5,7384.007928802588,2311.3,12510.475,2934.2,3275.404368932039,2352.2,3512.0,d,46.116504854368934,casa_pareada,53.883495145631066,ruido / observacion atipica
105,0,87,0.8699999999999999,56.5,56.51494252873565,52.3,58.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,9.460468541374603,8.483584790298474,8.758225250683186,10.412245537073003,8.219622386214086,8.206553688919968,8.167777549159096,8.253383883376012,12840.9,17693.441379310345,6361.9,33263.55,3712.1,3674.5908045977003,3524.5,3839.6,i,100.0,depto,51.724137931034484,depto | i | sup_mediana 56 m2 | calef: 12841 kWh | acs: 3712 kWh
105,1,59,0.59,48.2,49.28983050847458,43.849999999999994,55.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.501258210544727,5.74721810474597,4.629999365292151,8.108923850064542,7.8001221027369185,4.867477551489433,0.0,7.946486434880114,244.0,1443.6881355932205,101.6,3323.0,2439.9,1839.9644067796612,0.0,2825.6499999999996,a,54.23728813559322,depto,72.88135593220339,depto | a | sup_mediana 48 m2 | calef: 244 kWh | acs: 2440 kWh
105,2,139,1.39,49.4,48.18705035971223,45.7,51.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.84,0.8400000000000001,0.84,0.84,0.84,0.8400000000000001,0.84,0.84,7.316681058719282,6.876380123531729,6.746176910640879,7.816960630135052,8.042635206820789,7.997214957079676,7.948879687777619,8.059307838360741,1504.2,2292.602877697842,849.8,2481.3500000000004,3109.8,2985.6172661870505,2831.4,3162.1,b,100.0,depto,79.13669064748201,depto | b | sup_mediana 49 m2 | calef: 1504 kWh | acs: 3110 kWh
105,3,254,2.54,51.4,51.516141732283465,48.0,53.775,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.84,0.8400000000000001,0.84,0.84,0.84,0.8400000000000001,0.84,0.84,7.229511738852713,6.629743067682889,6.492542681817046,7.763440129570075,7.907982665728846,7.8798701859420985,7.838905054470147,7.941686814175914,1378.5500000000002,1640.3838582677165,659.2,2352.0,2717.9,2706.0425196850397,2536.4249999999997,2811.1,c,100.0,depto,100.0,depto | c | sup_mediana 51 m2 | calef: 1379 kWh | acs: 2718 kWh
105,4,80,0.8,53.1,51.61,47.4,53.325,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.84,0.8400000000000001,0.84,0.84,0.84,0.8400000000000001,0.84,0.84,8.283467470192782,8.321044117887158,8.015019261808323,8.580975630667295,7.939693434382254,7.900706639026099,7.851077349907323,7.939693434382254,3956.9,4461.11,3025.15,5330.15,2805.5,2717.405,2567.5,2805.5,c,100.0,casa_pareada,100.0,casa_pareada | c | sup_mediana 53 m2 | calef: 3957 kWh | acs: 2806 kWh
