cluster_hdbscan,n,pct_total,superficie_util_mediana,superficie_util_media,superficie_util_p25,superficie_util_p75,u_norm_muro_principal_mediana,u_norm_muro_principal_media,u_norm_muro_principal_p25,u_norm_muro_principal_p75,u_norm_muro_secundario_mediana,u_norm_muro_secundario_media,u_norm_muro_secundario_p25,u_norm_muro_secundario_p75,u_norm_techo_principal_mediana,u_norm_techo_principal_media,u_norm_techo_principal_p25,u_norm_techo_principal_p75,u_norm_techo_secundario_mediana,u_norm_techo_secundario_media,u_norm_techo_secundario_p25,u_norm_techo_secundario_p75,log_calef_proyec_kwh_mediana,log_calef_proyec_kwh_media,log_calef_proyec_kwh_p25,log_calef_proyec_kwh_p75,log_acs_proyec_kwh_mediana,log_acs_proyec_kwh_media,log_acs_proyec_kwh_p25,log_acs_proyec_kwh_p75,calef_proyec_kwh_mediana,calef_proyec_kwh_media,calef_proyec_kwh_p25,calef_proyec_kwh_p75,acs_proyec_kwh_mediana,acs_proyec_kwh_media,acs_proyec_kwh_p25,acs_proyec_kwh_p75,zona_termica_moda,zona_termica_pct_moda,tipo_inmueble_moda,tipo_inmueble_pct_moda,etiqueta_arquetipo_preliminar
-1,602,6.02,56.9,63.32259136212624,49.0,72.2,1.7,2.498974358974359,1.7,4.0,1.7,2.498974358974359,1.7,4.0,0.38,0.42290598290598286,0.28,0.6,0.38,0.42290598290598286,0.28,0.6,8.783034307601167,7.736824378944607,7.276773057486167,9.391000998371462,7.9919305198524775,7.315324825020935,7.764220980066558,8.177094386739325,6521.65,7213.472591362126,1445.5,11979.1,2956.0,3546.0433554817278,2353.825,3557.5,d,45.68106312292359,casa_pareada,52.159468438538205,ruido / observacion atipica
20,219,2.19,44.8,51.12876712328767,41.8,56.25,1.6,1.5999999999999999,1.6,1.6,1.6,1.5999999999999999,1.6,1.6,0.33,0.32999999999999996,0.33,0.33,0.33,0.32999999999999996,0.33,0.33,9.182712204858708,9.188368496546667,8.831169889541744,9.549728928747307,7.888334500738654,7.963378118908699,7.833283216208774,8.063786879720482,9726.5,10601.547945205479,6843.35,14039.900000000001,2665.0,2914.6557077625575,2522.2,3176.3,f,100.0,casa_aislada,100.0,casa_aislada | f | sup_mediana 45 m2 | calef: 9726 kWh | acs: 2665 kWh
21,167,1.67,50.6,49.24251497005988,45.7,52.3,1.7,1.6999999999999993,1.7,1.7,1.7,1.6999999999999993,1.7,1.7,0.38,0.37999999999999995,0.38,0.38,0.38,0.37999999999999995,0.38,0.38,8.147288258706624,8.20334743377082,7.792410255988483,8.763271761817098,7.983781068977451,7.95561200993639,7.903670169411904,8.009628910352617,3453.0,4640.171856287425,2421.15,6394.4,2932.0,2866.868263473054,2706.2,3008.8,f,100.0,depto,100.0,depto | f | sup_mediana 51 m2 | calef: 3453 kWh | acs: 2932 kWh
22,196,1.96,48.6,48.14438775510204,46.325,52.2,1.6,1.5999999999999999,1.6,1.6,1.6,1.5999999999999999,1.6,1.6,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,7.92284070289439,7.920658497170811,7.583552821206969,8.274490497048086,7.952615111650999,7.9328838893701015,7.899540263580331,8.007008998476984,2758.6000000000004,3174.456122448979,1964.6,3921.525,2842.0,2824.841836734694,2695.0499999999997,3000.925,f,100.0,depto,100.0,depto | f | sup_mediana 49 m2 | calef: 2759 kWh | acs: 2842 kWh
23,56,0.5599999999999999,50.3,55.27857142857143,50.3,52.3,1.6,1.5999999999999999,1.6,1.6,1.6,1.5999999999999999,1.6,1.6,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,9.486676091636674,9.474424171030947,9.443861885468529,9.54296234870781,8.011288771969316,8.056516276477527,8.011288771969316,8.041927743048797,13182.0,13074.778571428573,12629.4,13945.2,3013.8,3190.6071428571427,3013.8,3107.6,g,100.0,casa_aislada,100.0,casa_aislada | g | sup_mediana 50 m2 | calef: 13182 kWh | acs: 3014 kWh
24,119,1.1900000000000002,44.8,47.957142857142856,42.7,48.7,1.1,1.0999999999999996,1.1,1.1,1.1,1.0999999999999996,1.1,1.1,0.28,0.2800000000000002,0.28,0.28,0.28,0.2800000000000002,0.28,0.28,9.72661313311539,9.679676225471502,9.650419444600395,9.765904903701625,7.920010521993716,7.959742441331627,7.883182467079869,7.986436932161368,16756.7,16153.289915966387,15527.3,17428.25,2750.8,2884.296638655462,2651.3,2939.8,g,100.0,casa_aislada,100.0,casa_aislada | g | sup_mediana 45 m2 | calef: 16757 kWh | acs: 2751 kWh
25,3354,33.54,47.2,45.7876267143709,33.8,51.3,1.9,1.8999999999999995,1.9,1.9,1.9,1.8999999999999995,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,7.7830156612983,7.5449074884933856,7.01703533030736,8.389416634730914,7.79938439778543,7.833494738840974,7.536363938404511,7.894206200761917,2398.5,3062.9778473464517,1114.475,4399.25,2438.1,3888.4766776021474,1874.0,2680.7,d,100.0,depto,100.0,depto | d | sup_mediana 47 m2 | calef: 2398 kWh | acs: 2438 kWh
26,255,2.55,52.4,52.37019607843137,47.6,55.9,1.7,1.6999999999999997,1.7,1.7,1.7,1.6999999999999997,1.7,1.7,0.38,0.3799999999999999,0.38,0.38,0.38,0.3799999999999999,0.38,0.38,7.8002859632919535,7.695345733991116,7.094495173108401,8.298253074746704,7.81871180926559,7.811803878855606,7.7788394180182125,7.883031643204163,2440.3,2997.5874509803925,1204.35,4015.85,2485.7,2509.602745098039,2388.5,2650.9,d,100.0,depto,100.0,depto | d | sup_mediana 52 m2 | calef: 2440 kWh | acs: 2486 kWh
27,714,7.140000000000001,50.7,53.01638655462185,45.2,57.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,8.79828861947321,8.789004722331331,8.55472879067165,9.026623286172708,7.817222785508166,7.816204986634145,7.732237692372104,7.911027323803665,6621.9,7161.0568627450975,5190.25,8320.725,2482.0,2527.819607843137,2279.7,2726.2000000000003,d,100.0,casa_pareada,100.0,casa_pareada | d | sup_mediana 51 m2 | calef: 6622 kWh | acs: 2482 kWh
28,93,0.9299999999999999,49.8,50.84731182795699,48.7,52.2,1.1,1.0999999999999994,1.1,1.1,1.1,1.0999999999999994,1.1,1.1,0.28,0.28000000000000014,0.28,0.28,0.28,0.28000000000000014,0.28,0.28,8.35094968723484,8.354627029600373,8.131854187691662,8.621427072659785,8.00446576036065,7.754292005228109,7.984360512387156,8.039737867125353,4233.2,4666.050537634409,3400.1,5548.3,2993.3,2872.8741935483868,2933.7,3100.8,g,100.0,depto,100.0,depto | g | sup_mediana 50 m2 | calef: 4233 kWh | acs: 2993 kWh
29,219,2.19,46.8,44.45114155251141,39.0,52.2,1.6,1.5999999999999999,1.6,1.6,1.6,1.5999999999999999,1.6,1.6,0.33,0.32999999999999996,0.33,0.33,0.33,0.32999999999999996,0.33,0.33,8.220591456789803,8.090554898998,7.666951392349826,8.44626344266293,7.989187498440394,7.911806247365969,7.807693021527287,8.039737867125353,3715.7,3775.5205479452056,2135.6,4656.65,2947.9,2765.551598173516,2458.45,3100.8,g,100.0,depto,100.0,depto | g | sup_mediana 47 m2 | calef: 3716 kWh | acs: 2948 kWh
30,60,0.6,64.35,63.63666666666668,53.85,72.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,0.38,0.3799999999999999,0.38,0.38,0.38,0.3799999999999999,0.38,0.38,7.9239035419877375,7.899680323294672,7.699977377877446,8.025123894527457,6.773423566186845,6.674730442412709,6.51320021484817,6.84609261859003,2761.65,2785.5433333333335,2207.3,3055.7999999999997,873.3,813.2466666666666,673.0,939.2,d,100.0,casa_pareada,100.0,casa_pareada | d | sup_mediana 64 m2 | calef: 2762 kWh | acs: 873 kWh
31,112,1.1199999999999999,47.0,47.0,47.0,47.0,1.7,1.6999999999999995,1.7,1.7,1.7,1.6999999999999995,1.7,1.7,0.38,0.37999999999999995,0.38,0.38,0.38,0.37999999999999995,0.38,0.38,8.502789940520987,8.605328692749028,8.429235901209335,8.829010404006233,7.775989577440603,7.775989577440602,7.775989577440603,7.775989577440603,4927.5,5576.342857142857,4578.0,6828.525,2381.7,2381.7000000000003,2381.7,2381.7,d,100.0,casa_pareada,100.0,casa_pareada | d | sup_mediana 47 m2 | calef: 4928 kWh | acs: 2382 kWh
32,160,1.6,58.7,58.275,55.5,61.3,1.7,1.6999999999999997,1.7,1.7,1.7,1.6999999999999997,1.7,1.7,0.38,0.37999999999999995,0.38,0.38,0.38,0.37999999999999995,0.38,0.38,8.745817432729652,8.738387697905853,8.566225506741338,8.910129787989053,7.946299041184127,7.938416217997039,7.904445577924863,7.977830909508058,6283.35,6372.111875,5250.275,7405.825000000001,2824.1,2805.661875,2708.3,2914.6,d,100.0,casa_pareada,100.0,casa_pareada | d | sup_mediana 59 m2 | calef: 6283 kWh | acs: 2824 kWh
