document_id,superficie_util,zona_termica,tipo_inmueble,calef_proyec_kwh,acs_proyec_kwh,u_norm_muro_principal,u_norm_muro_secundario,u_norm_techo_principal,u_norm_techo_secundario,log_calef_proyec_kwh,log_acs_proyec_kwh,cluster_hdbscan,cluster_probability,cluster_is_noise
5f3cdf2020,58.7,d,casa_pareada,295.3,0.0,1.7,1.7,0.38,0.38,5.691372454579519,0.0,-1,0.0,True
28e2fa2021,60.3,d,casa_pareada,14910.0,2880.0,1.9,1.9,0.47,0.47,9.609854474590907,7.9658927350845286,27,0.35608043129751155,False
0913252026,53.7,d,depto,8704.5,2640.1,1.7,1.7,0.38,0.38,9.071710288806653,7.878950776025578,26,0.7716870677529937,False
02caae2020,77.8,d,casa_aislada,4057.1,950.0,1.7,1.7,0.38,0.38,8.308470162763259,6.85751406254539,17,0.7301218291075934,False
8780222023,53.5,a,depto,148.7,0.0,4.0,4.0,0.84,0.84,5.008633291425583,0.0,-1,0.0,True
7925eb2025,55.9,e,depto,641.1,3038.6,1.7,1.7,0.38,0.38,6.464744054800002,8.01948120679563,13,0.4346034785297394,False
a0b8932021,72.6,d,casa_pareada,3518.2,873.3,1.7,1.7,0.38,0.38,8.16598897003451,6.773423566186845,30,1.0,False
5c8e902025,46.7,d,casa_aislada,10237.5,2370.1,1.9,1.9,0.47,0.47,9.233910403488615,7.771109261472931,18,0.3216241150903986,False
871ca12019,51.1,d,depto,4381.5,2543.4,1.9,1.9,0.47,0.47,8.38537461679539,7.84165014480465,25,1.0,False
fa66f22026,58.6,i,casa_pareada,33527.0,3839.6,0.6,0.6,0.25,0.25,10.420136189604907,8.253383883376012,0,1.0,False
8baa4d2021,50.0,g,depto,4285.1,3003.6,1.6,1.6,0.33,0.33,8.363132507539222,8.007899726628324,29,1.0,False
9745da2020,42.4,d,casa_pareada,7339.0,2195.3,1.9,1.9,0.47,0.47,8.901094121608562,7.694529405320707,27,1.0,False
2c52802023,52.2,g,depto,5595.6,3104.4,1.6,1.6,0.33,0.33,8.629914549480237,8.040897810547069,29,1.0,False
078d212018,73.7,d,casa_aislada,14392.3,3322.4,1.0,1.0,0.0,0.0,9.574518099511023,8.108743634267114,7,1.0,False
a253b02026,54.4,i,casa_aislada,21664.4,3634.8,0.6,0.6,0.25,0.25,9.983471796962261,8.198584448283961,0,0.972092664833408,False
8d68b32024,48.3,d,depto,1327.6,2944.0,1.9,1.9,0.47,0.47,7.191881035231141,7.987864096085687,25,0.7099585717748123,False
09857d2023,49.3,c,depto,2931.1,2647.3,4.0,4.0,0.84,0.84,7.9834741688369375,7.8816732036910855,2,0.8798147345843919,False
472ab02024,49.8,d,depto,7701.4,2493.6,1.9,1.9,0.47,0.47,8.949287247588753,7.821883674691609,25,1.0,False
0117442019,43.8,d,depto,3786.4,2252.2,1.9,1.9,0.47,0.47,8.239435046828804,7.720106707020559,25,1.0,False
d5448a2026,47.3,d,depto,2745.8,2394.1,1.9,1.9,0.47,0.47,7.918191876746521,7.781180262626801,25,1.0,False
e56a892024,20.4,e,depto,0.0,1306.6,1.7,1.7,0.38,0.38,0.0,7.175948674850056,13,0.043092486043455655,False
Este 1d9f1a2018,54.1,d,casa_pareada,9053.2,2655.6,1.7,1.7,0.38,0.38,9.110984017436047,7.884802388698403,32,0.8093380252973852,False
aa36b32024,56.5,i,depto,5829.6,3740.0,0.6,0.6,0.25,0.25,8.670875190001027,8.227108234348146,0,0.9994395474246829,False
f3e4e82023,47.8,d,depto,4036.2,2415.9,1.9,1.9,0.47,0.47,8.303306661364704,7.790241006243931,25,1.0,False
82a3aa2019,40.0,d,depto,1233.1,1912.9,1.9,1.9,0.47,0.47,7.118097238459137,7.5568983240440275,25,1.0,False
83c9e92026,44.5,f,casa_pareada,6037.3,2649.9,1.7,1.7,0.38,0.38,8.705877794358777,7.882654483963062,15,0.08790343423843812,False
00cf822025,50.9,d,depto,3382.4,2534.2,1.7,1.7,0.38,0.38,8.12663640004119,7.838027808376711,26,0.9938914094208958,False
4ce8d32021,74.1,d,casa_aislada,14844.5,3332.5,1.9,1.9,0.47,0.47,9.605452068004855,8.111778082058114,18,0.7528193402893595,False
cbc2062021,82.2,d,casa_aislada,7341.9,2841.6,1.7,1.7,0.38,0.38,8.901489138946786,7.952474405304911,17,1.0,False
4eb9fa2025,53.4,f,casa_aislada,2021.1,2377.3,1.7,1.7,0.38,0.38,7.611891854341684,7.774141225727652,19,0.5584494984807692,False
ce0bd82023,30.2,d,depto,216.3,1472.7,1.9,1.9,0.47,0.47,5.3812788872623845,7.295531524219217,25,0.6097174492982547,False
a138ca2020,47.4,c,casa_pareada,1855.9,2567.5,4.0,4.0,0.84,0.84,7.52666370960655,7.851077349907323,3,0.9115810678379258,False
16ed482026,29.1,e,depto,970.1,1786.6,1.7,1.7,0.38,0.38,6.878429449600309,7.488629217059296,13,0.4556902819857858,False
d3fe0f2025,51.0,a,depto,0.0,2422.0,4.0,4.0,0.84,0.84,0.0,7.792761720816526,5,0.8741089471628621,False
