document_id,superficie_util,zona_termica,tipo_inmueble,calef_proyec,acs_proyec,u_norm_muro_principal,u_norm_muro_secundario,u_norm_techo_principal,u_norm_techo_secundario,cluster_hdbscan,cluster_probability,cluster_is_noise
d54feb2023,46.1,d,depto,no posee,calefón con condensación,1.9,1.9,0.47,0.47,-1,0.0,True
5188292021,45.0,d,casa_pareada,no posee,calefont 7 litros tiro forzado,1.0,1.0,0.0,0.0,2,1.0,False
2e84b02026,52.3,e,casa_pareada,calefactor electrico,calefont 10 litros gl,1.7,1.7,0.38,0.38,-1,0.0,True
7a74e32024,52.4,d,casa_pareada,no posee,"calefón splendid de 10 litros, master mvg tfi 10, gas licuado",3.0,3.0,0.6,0.6,-1,0.0,True
9e07332021,42.0,d,casa_pareada,no posee,calefont glp,1.9,1.9,0.47,0.47,40,1.0,False
1c3ed22025,44.9,d,depto,no posee,"central térmica con 10 calefones de condesación, marca anwo,",1.0,1.0,0.0,0.0,2,1.0,False
34d4db2020,43.7,d,casa_pareada,no posee,calefont 7 litros tiro forzado,1.9,1.9,0.47,0.47,42,1.0,False
a541622026,58.6,i,casa_pareada,no posee,calefont 7 litros tiro forzado,0.6,0.6,0.25,0.25,-1,0.0,True
b6b7de2023,66.8,d,casa_pareada,no posee,calefont 7 litros tiro forzado,1.9,1.9,0.47,0.47,-1,0.0,True
88bd8b2024,38.6,d,depto,no posee,caldera central a gas,1.9,1.9,0.47,0.47,30,1.0,False
6f24312024,63.1,d,casa_aislada,no posee,calefont 7 litros tiro forzado,1.9,1.9,0.47,0.47,33,1.0,False
4fdcff2019,55.0,d,depto,radiador eléctrico,termo eléctrico,1.0,1.0,0.0,0.0,-1,0.0,True
fb9e222025,54.7,f,depto,no posee,calefont 10 litros tiro forzado,1.7,1.7,0.38,0.38,-1,0.0,True
ac33d62024,53.3,c,depto,no posee,calefont 7 litros tiro forzado,4.0,4.0,0.84,0.84,3,1.0,False
f010222019,48.6,d,depto,no posee,calefont 7 litros tiro forzado,3.0,3.0,0.6,0.6,55,0.8500000115827424,False
49d2702023,41.2,f,casa_aislada,no aplica,calefont glp,1.6,1.6,0.33,0.33,-1,0.0,True
8201062026,42.1,d,depto,no posee,termo eléctrico splendid 80 lt,1.9,1.9,0.47,0.47,-1,0.0,True
eb382a2022,56.2,d,depto,no posee,calefont 7 litros,1.9,1.9,0.47,0.47,-1,0.0,True
22f50d2024,130.0,d,depto,no posee,calefont 7 litros tiro forzado,1.9,1.9,0.47,0.47,-1,0.0,True
de83e72024,51.1,c,depto,no posee,calefont 7 litros tiro forzado,4.0,4.0,0.84,0.84,3,1.0,False
23992a2024,48.3,d,depto,no posee,calefón,3.0,3.0,0.6,0.6,-1,0.0,True
4ce53a2026,70.6,c,depto,no posee,calefont 7 litros tiro forzado,3.0,3.0,0.6,0.6,51,0.22424241471245449,False
5f68102025,66.8,d,casa_aislada,calefactor electrico,calefont 16 litros gl,3.0,3.0,0.6,0.6,-1,0.0,True
0d677e2023,46.1,f,casa_pareada,no aplica,calefont glp,1.7,1.7,0.38,0.38,26,1.0,False
f8014d2020,51.0,d,depto,no posee,calefont glp,1.9,1.9,0.47,0.47,48,1.0,False
f353b32022,53.5,d,depto,no posee,calefont glp,1.9,1.9,0.47,0.47,-1,0.0,True
ccd8ee2024,49.5,d,casa_pareada,no posee,calefont,1.9,1.9,0.47,0.47,10,1.0,False
3410192026,41.9,d,depto,no posee,sala de calderas,1.9,1.9,0.47,0.47,12,1.0,False
15b8ef2022,48.7,g,depto,no posee,caldera mural rinnai eco 16/17 gn,1.1,1.1,0.28,0.28,-1,0.0,True
8365e92023,57.6,d,depto,no posee,calefont 7 litros tiro forzado,3.0,3.0,0.6,0.6,55,0.8500000115827424,False
8195a52023,74.3,d,casa_pareada,no posee,calefont 7 litros tiro forzado,1.7,1.7,0.38,0.38,-1,0.0,True
40bd752023,30.7,d,depto,no posee,central termica,1.9,1.9,0.47,0.47,38,0.7058823342377866,False
31c2e02025,46.4,d,depto,no posee,5 calderas de condensación ariston evo hp 150,1.9,1.9,0.47,0.47,-1,0.0,True
a7a99e2023,59.9,d,depto,no posee,calefont 7 litros tiro forzado,3.0,3.0,0.6,0.6,55,0.3953488589256401,False
cd70bb2024,55.6,a,depto,no posee,calefont 7 litros tiro forzado,4.0,4.0,0.84,0.84,5,1.0,False
30f7f52022,48.6,d,depto,no posee,calefont glp,1.9,1.9,0.47,0.47,44,0.0,False
07555f2026,71.7,d,casa_pareada,sin sistema,calefont,1.9,1.9,0.47,0.47,-1,0.0,True
50f0752024,52.5,d,depto,no posee,calefont 10 litros tiro forzado,1.9,1.9,0.47,0.47,11,1.0,False
1e893c2025,66.8,d,casa_pareada,no posee,calefont 10 litros tiro forzado,1.7,1.7,0.38,0.38,36,0.02654312861602531,False
ff3b9e2025,54.4,d,depto,calefactor electrico,calefont 10 litros gl,3.0,3.0,0.6,0.6,0,1.0,False
09cf962025,51.6,d,depto,no posee,calefont,1.9,1.9,0.47,0.47,50,1.0,False
21e9632026,48.5,d,depto,no posee,calefont glp,1.9,1.9,0.47,0.47,44,1.0,False
9075f62021,48.5,d,depto,no posee,caldera con condensación,1.9,1.9,0.47,0.47,52,0.8333332618349243,False
8f20482022,22.1,d,depto,no posee,el edificio cuenta con 2 calderas sime 2r10 de 154.500 kcal/h,1.9,1.9,0.47,0.47,-1,0.0,True
a37a8e2021,47.5,d,depto,no posee,calefont 7 litros tiro forzado,1.9,1.9,0.47,0.47,61,0.0,False
e9a2fa2023,73.6,d,depto,radiadores eléctricos 1000w,termo eléctrico 155lts,1.9,1.9,0.47,0.47,-1,0.0,True
2499bb2021,51.1,f,depto,no posee,calefont tiro forzado,1.7,1.7,0.38,0.38,-1,0.0,True
8361412022,50.7,d,depto,no posee,"calefont 13 litros, splendid",3.0,3.0,0.6,0.6,-1,0.0,True
e6e6122022,30.7,d,depto,no posee,central de calderas a condensación tipo mural,1.9,1.9,0.47,0.47,-1,0.0,True
87d7482020,45.2,d,depto,no posee,calefont 13 litros tiro forzado,1.9,1.9,0.47,0.47,-1,0.0,True
a3ee212024,27.3,d,depto,no considera,caldera con condensación,1.9,1.9,0.47,0.47,53,1.0,False
4bca242024,51.7,f,casa_aislada,"estufa a parafina tiro forzado marca toyotomi modelo ff-v30t,","calefont marca mademsa modelo. forced 10 eco gl, con una",1.6,1.6,0.33,0.33,-1,0.0,True
2997b62023,57.8,d,depto,no posee,calefont 7 litros tiro forzado,1.9,1.9,0.47,0.47,-1,0.0,True
bbd9df2020,58.7,d,casa_pareada,no posee,calefon 10 lts splendid modelo master 10,1.7,1.7,0.38,0.38,-1,0.0,True
e117a12023,25.7,d,depto,no posee,caldera de condensación,1.9,1.9,0.47,0.47,28,1.0,False
531f172021,60.3,d,casa_pareada,no posee,calefon,1.9,1.9,0.47,0.47,-1,0.0,True
ecc2662021,46.2,f,casa_pareada,no posee,calefont glp,1.7,1.7,0.38,0.38,27,1.0,False
2307072024,44.4,d,depto,no posee,central termica,1.9,1.9,0.47,0.47,38,0.17142857489551486,False
b5ed662026,60.8,f,casa_pareada,no posee,calefont glp,1.7,1.7,0.38,0.38,27,0.0,False
873bdf2023,44.4,c,casa_pareada,no posee,calefon tiro natural marca splendid modelo,4.0,4.0,0.0,0.0,-1,0.0,True
440afe2021,47.8,d,depto,no posee,calefont 7 litros tiro forzado,1.9,1.9,0.47,0.47,60,0.6666666237676203,False
652e7b2021,46.6,f,depto,no posee,calefont 10 litros tiro forzado,1.7,1.7,0.38,0.38,-1,0.0,True
f8d63e2025,47.4,d,depto,sin sistema,caldera de condensación marca naview,1.9,1.9,0.47,0.47,-1,0.0,True
1a8f5b2024,32.7,d,depto,"central térmica, 3 calderas murales de condensación","central térmica, 3 calderas murales de condensación",1.9,1.9,0.47,0.47,-1,0.0,True
87efc32020,34.6,d,depto,no posee,calentamiento de agua con caldera a condensación,1.9,1.9,0.47,0.47,50,0.00881953798648314,False
7cd15a2024,70.4,d,casa_aislada,no posee,calefont 10 litros tiro forzado,1.9,1.9,0.47,0.47,-1,0.0,True
17ec192025,66.8,d,casa_pareada,0,calefont 10 litros tiro forzado,1.9,1.9,0.47,0.47,-1,0.0,True
d49b682026,58.2,d,depto,no posee,calefont tiro forzado,1.7,1.7,0.38,0.38,24,1.0,False
dd3cc32026,47.6,d,depto,no posee,calefont 7 litros tiro forzado,1.7,1.7,0.38,0.38,56,1.0,False
cca00f2026,53.6,e,depto,no posee,calefont 7 litros tiro forzado,1.7,1.7,0.38,0.38,54,1.0,False
628ace2025,49.5,d,casa_pareada,no posee,calefont 11 litros tiro forzado,1.9,1.9,0.47,0.47,-1,0.0,True
1d12292022,53.7,e,depto,no considera,bomba de calor,1.7,1.7,0.38,0.38,-1,0.0,True
58219f2024,45.4,d,depto,no posee,"el edificio cuenta con 3 calderas baxi luna duo-tec mp 1.110,",1.9,1.9,0.47,0.47,-1,0.0,True
a08d742022,39.9,d,depto,no posee,central térmica con bomba de calor,1.9,1.9,0.47,0.47,-1,0.0,True
0526512022,50.0,f,casa_pareada,"no posee, segun eett",calefont 10 litros tiro forzado,1.6,1.6,0.33,0.33,-1,0.0,True
2eeab22025,53.5,a,depto,no posee,"calefon junkers wd10 km e31 s4300, de 10 l y 18,2 kw",4.0,4.0,0.84,0.84,-1,0.0,True
9358632025,41.8,f,depto,calefactor electrico,calefont 10 litros gl,1.6,1.6,0.33,0.33,-1,0.0,True
72bb3c2020,24.0,d,depto,no posee,calefont 13 litros tiro forzado,1.9,1.9,0.47,0.47,-1,0.0,True
24ee472025,50.5,d,depto,calefactor electrico,calefont 10 litros gl,3.0,3.0,0.6,0.6,0,1.0,False
f62da42023,30.5,d,depto,no posee,caldera central a gas,1.9,1.9,0.47,0.47,30,1.0,False
d1bde62026,47.7,f,casa_aislada,no posee,calefont glp,1.7,1.7,0.38,0.38,19,0.056458454608419154,False
249dbc2024,38.0,g,depto,no posee,calefont individual. gas licuado,1.6,1.6,0.33,0.33,-1,0.0,True
bf0a452020,44.3,e,casa_pareada,no posee,calefont glp,1.7,1.7,0.38,0.38,25,1.0,False
ef6f522021,43.7,f,depto,no posee,calefont 10 litros tiro forzado,1.7,1.7,0.38,0.38,-1,0.0,True
e88b322024,48.6,f,depto,no posee,calefont glp,1.6,1.6,0.33,0.33,29,1.0,False
1589092025,58.6,f,casa_aislada,no posee,calefont 7 litros tiro forzado,1.7,1.7,0.38,0.38,14,1.0,False
aae47f2025,51.0,e,depto,no posee,calefont 7 litros tiro forzado,1.7,1.7,0.38,0.38,54,1.0,False
dc41d62024,63.1,d,depto,no posee,calefont,1.9,1.9,0.47,0.47,50,0.4905660234412571,False
0288842019,66.8,d,casa_aislada,no posee,calefont 10 litros tiro forzado,1.0,1.0,0.0,0.0,2,1.0,False
576ad42022,49.6,d,casa_pareada,no posee,calefont 10 litros tiro forzado,3.0,3.0,0.6,0.6,36,0.00917105697810023,False
d712a92026,48.7,e,casa_aislada,no posee,calefont glp,1.7,1.7,0.38,0.38,21,1.0,False
42c6722023,50.7,f,depto,no posee,calefont 7 litros tiro forzado,1.6,1.6,0.33,0.33,32,1.0,False
50d4c62024,43.7,d,depto,no posee,el edificio cuenta con 5 calefont de condensación marca navien,1.9,1.9,0.47,0.47,-1,0.0,True
22c62f2026,29.6,c,depto,no posee,caldera a condensación,4.0,4.0,0.84,0.84,-1,0.0,True
be0f1c2022,43.1,d,casa_pareada,no posee,calefont 10 litros tiro forzado,3.0,3.0,0.6,0.6,36,0.009122788776096586,False
356e4f2021,37.3,d,depto,no posee,central de calderas de condensación,1.9,1.9,0.47,0.47,-1,0.0,True
4164b62025,67.7,e,depto,no posee sistema de calefacción,sistema de acs por defecto,1.7,1.7,0.38,0.38,-1,0.0,True
f3f7352021,65.5,a,depto,no posee,sistema unitario,4.0,4.0,0.0,0.0,-1,0.0,True
520b492024,90.7,d,casa_aislada,no posee,calefont 10 litros tiro forzado,1.9,1.9,0.47,0.47,-1,0.0,True
37a83f2021,47.4,d,depto,no posee,calefont glp,1.9,1.9,0.47,0.47,-1,0.0,True
2ba0812025,52.3,g,depto,no posee,calefont 10 litros tiro forzado,1.6,1.6,0.33,0.33,23,1.0,False
581c752025,54.7,f,depto,no posee,calefont 10 litros tiro forzado,1.7,1.7,0.38,0.38,-1,0.0,True
22eed12022,43.3,d,casa_pareada,no posee,calefont 10 litros tiro forzado,1.9,1.9,0.47,0.47,36,0.9285714285714285,False
f80f872024,60.0,e,depto,no posee,calefont 13 litros tiro forzado,1.7,1.7,0.38,0.38,-1,0.0,True
81c4d42022,79.6,d,casa_pareada,estufa kerosene 3 kw,calefon tiro natural 10 lts +sst,1.7,1.7,0.38,0.38,1,1.0,False
b58be42022,28.4,d,depto,no considera,central térmica,1.9,1.9,0.47,0.47,-1,0.0,True
8bc9642022,47.9,d,casa_pareada,no posee,calefont 10 litros tiro forzado,1.9,1.9,0.47,0.47,36,1.0,False
c581cf2025,50.1,a,depto,no posee,"calefon junkers wd10 km e31 s4300, de 10 l y 18,2 kw",4.0,4.0,0.84,0.84,-1,0.0,True
bbb6302024,43.8,d,depto,no posee,bomba de calor,1.9,1.9,0.47,0.47,-1,0.0,True
1146492023,44.4,c,casa_pareada,no posee,calefon tiro natural marca splendid modelo,4.0,4.0,0.0,0.0,-1,0.0,True
3d04682022,50.0,f,casa_pareada,"no posee, segun eett",calefont 10 litros tiro forzado,1.6,1.6,0.33,0.33,-1,0.0,True
aaa3572024,31.1,d,depto,no posee,el edificio cuenta con 2 calderas mural de condensación baxi,1.9,1.9,0.47,0.47,-1,0.0,True
22b8c12021,48.6,d,depto,no posee,calefont glp,1.9,1.9,0.47,0.47,44,0.0,False
e552de2025,48.7,g,casa_aislada,no posee,calefon,1.1,1.1,0.28,0.28,17,1.0,False
e4916c2021,99.9,d,depto,"se contempla grupo de calderas murales de condensación,","se contempla grupo de calderas murales de condensación,",1.9,1.9,0.47,0.47,-1,0.0,True
520bb62024,47.0,e,casa_pareada,no posee,calefont 7 litros tiro forzado,1.7,1.7,0.38,0.38,34,1.0,False
1d2be42025,29.4,d,depto,no posee,central de agua caliente para suministro de todos los departamentos,1.9,1.9,0.47,0.47,-1,0.0,True
b2d1d32021,48.8,d,depto,no posee,calefont glp,1.9,1.9,0.47,0.47,44,0.0,False
945d872025,21.1,d,depto,no posee,caldera bosch condens 7000 wp modelo gc7000wp 100,1.9,1.9,0.47,0.47,-1,0.0,True
533e472024,49.9,d,depto,no posee,calefont glp,1.9,1.9,0.47,0.47,44,0.0,False
80d30f2020,72.7,f,casa_aislada,no posee,calefont 10 litros tiro forzado,1.0,1.0,0.0,0.0,2,0.9554119635982296,False
86a49c2020,58.7,d,casa_pareada,no posee,calefont 10 litros tiro natural,1.7,1.7,0.38,0.38,-1,0.0,True
e212602021,74.1,d,casa_aislada,estufa a gas,calefont,1.9,1.9,0.47,0.47,-1,0.0,True
26f8ce2019,60.0,a,depto,no posee,calefont 7 litros tiro forzado,4.0,4.0,0.84,0.84,6,1.0,False
8737e42024,50.9,d,depto,no posee,calefont tiro forzado,1.9,1.9,0.47,0.47,24,0.024526388758561498,False
50e9c02023,23.6,d,depto,no posee,central termica,1.9,1.9,0.47,0.47,38,0.5,False
f0ffba2024,53.7,d,depto,no posee,calefont tiro forzado,1.7,1.7,0.38,0.38,24,1.0,False
5d81ed2022,32.1,d,depto,calefactor eléctrico,sistema de generación central por caldera de condensación,1.9,1.9,0.47,0.47,-1,0.0,True
5ab40e2023,49.9,d,depto,no posee,calefont glp,3.0,3.0,0.6,0.6,37,1.0,False
4831462023,52.2,g,depto,no posee,calefont 7 litros tiro forzado,1.6,1.6,0.33,0.33,22,1.0,False
2551ba2021,41.4,d,casa_pareada,no posee,calefont glp,1.9,1.9,0.47,0.47,40,0.0,False
a98eff2026,50.0,d,depto,no posee,"central térmica eficiente inverter marca ariston, modelo hp150.",1.9,1.9,0.47,0.47,-1,0.0,True
cfdc5b2024,26.6,d,depto,no posee,caldera de condensación,1.9,1.9,0.47,0.47,28,1.0,False
46a2242025,48.0,d,depto,no posee,calefont 7 litros tiro forzado,1.9,1.9,0.47,0.47,60,1.0,False
ef0bd32022,52.3,d,depto,no posee,calefont glp,1.9,1.9,0.47,0.47,47,1.0,False
769ab72020,51.1,d,depto,no posee,calefont glp,1.9,1.9,0.47,0.47,49,1.0,False
3ee9b92025,33.6,c,depto,no posee,caldera mural a condensación,3.0,3.0,0.6,0.6,-1,0.0,True
5378b02025,60.1,d,depto,no posee,central de agua caliente para suministro de todos los departamentos,1.9,1.9,0.47,0.47,-1,0.0,True
1cbc162024,27.7,d,depto,no considera,caldera con condensación,1.9,1.9,0.47,0.47,53,1.0,False
47dd852023,48.0,f,depto,no posee,calefon,1.7,1.7,0.38,0.38,-1,0.0,True
7e98132019,47.2,d,depto,no posee,calefont 7 litros tiro forzado,1.9,1.9,0.47,0.47,61,1.0,False
cd02a52024,33.7,d,depto,"central térmica, 3 calderas murales de condensación","central térmica, 3 calderas murales de condensación",1.9,1.9,0.47,0.47,-1,0.0,True
90105d2025,43.1,d,depto,no posee,calderas de condensación,1.9,1.9,0.47,0.47,13,0.01628222502278369,False
d0898b2021,31.5,d,depto,no considera,central termica,1.9,1.9,0.47,0.47,-1,0.0,True
48c6b22025,50.1,a,depto,no posee,"calefon junkers wd10 km e31 s4300, de 10 l y 18,2 kw",4.0,4.0,0.84,0.84,-1,0.0,True
c046e52026,57.8,d,depto,sin sistema,calefont tiro forzado 10 litros,1.9,1.9,0.47,0.47,50,0.00881953798648314,False
8279a72026,63.1,d,depto,sin sistema,calefont tiro forzado 13 lts splendid modelo mvg tfi 13,1.9,1.9,0.47,0.47,50,0.00881953798648314,False
87f4df2021,60.0,f,casa_aislada,estufa a parafina marca toyotomi modelo ff-v30 el que tiene,calefon marca mademsa modelo forzada tfm 10 eco gl/gn,1.6,1.6,0.33,0.33,-1,0.0,True
273b6a2025,47.0,d,casa_pareada,no posee,calefont 7 litros tiro forzado,1.7,1.7,0.38,0.38,41,1.0,False
bfcf8d2020,101.4,c,casa_aislada,no posee,calefont neckar ionizado 13 litros wn13 con potencia nominal,4.0,4.0,0.84,0.84,-1,0.0,True
34d6072026,29.3,e,depto,no posee,calefont 7 litros tiro forzado,1.7,1.7,0.38,0.38,54,0.3111111004340148,False
