cluster_hdbscan,n,pct_total,superficie_util_mediana,superficie_util_media,superficie_util_p25,superficie_util_p75,u_norm_muro_principal_mediana,u_norm_muro_principal_media,u_norm_muro_principal_p25,u_norm_muro_principal_p75,u_norm_muro_secundario_mediana,u_norm_muro_secundario_media,u_norm_muro_secundario_p25,u_norm_muro_secundario_p75,u_norm_techo_principal_mediana,u_norm_techo_principal_media,u_norm_techo_principal_p25,u_norm_techo_principal_p75,u_norm_techo_secundario_mediana,u_norm_techo_secundario_media,u_norm_techo_secundario_p25,u_norm_techo_secundario_p75,zona_termica_moda,zona_termica_pct_moda,tipo_inmueble_moda,tipo_inmueble_pct_moda,calef_proyec_moda,calef_proyec_pct_moda,acs_proyec_moda,acs_proyec_pct_moda,etiqueta_arquetipo_preliminar
-1,4300,43.0,50.5,54.23632558139534,42.7,58.824999999999996,1.9,2.1824655615222976,1.7,1.9,1.9,2.1824655615222976,1.7,1.9,0.47,0.48003969180480965,0.38,0.47,0.47,0.48003969180480965,0.38,0.47,d,55.76744186046512,depto,69.11627906976744,no posee,64.93023255813954,calefont 7 litros tiro forzado,11.093023255813954,ruido / observacion atipica
22,93,0.9299999999999999,52.2,47.902150537634405,43.9,52.2,1.6,1.487096774193548,1.6,1.6,1.6,1.487096774193548,1.6,1.6,0.33,0.31870967741935485,0.33,0.33,0.33,0.31870967741935485,0.33,0.33,g,100.0,depto,100.0,no posee,100.0,calefont 7 litros tiro forzado,100.0,depto | g | sup_mediana 52 m2 | calef: no posee | acs: calefont 7 litros tiro forzado
23,81,0.8099999999999999,50.2,50.58395061728395,49.8,52.2,1.6,1.353086419753086,1.1,1.6,1.6,1.353086419753086,1.1,1.6,0.33,0.3053086419753087,0.28,0.33,0.33,0.3053086419753087,0.28,0.33,g,100.0,depto,100.0,no posee,100.0,calefont 10 litros tiro forzado,100.0,depto | g | sup_mediana 50 m2 | calef: no posee | acs: calefont 10 litros tiro forzado
24,92,0.9199999999999999,53.7,54.12065217391304,53.4,57.7,1.7,1.7391304347826078,1.7,1.7,1.7,1.7391304347826078,1.7,1.7,0.38,0.397608695652174,0.38,0.38,0.38,0.397608695652174,0.38,0.38,d,100.0,depto,100.0,no posee,100.0,calefont tiro forzado,100.0,depto | d | sup_mediana 54 m2 | calef: no posee | acs: calefont tiro forzado
25,57,0.5700000000000001,48.3,48.457894736842114,44.3,53.3,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,0.38,0.37999999999999995,0.38,0.38,0.38,0.37999999999999995,0.38,0.38,e,100.0,casa_pareada,100.0,no posee,100.0,calefont glp,100.0,casa_pareada | e | sup_mediana 48 m2 | calef: no posee | acs: calefont glp
26,56,0.5599999999999999,54.0,51.973214285714285,51.7,54.0,1.6,1.6339285714285714,1.6,1.7,1.6,1.6339285714285714,1.6,1.7,0.33,0.3469642857142857,0.33,0.38,0.33,0.3469642857142857,0.33,0.38,f,100.0,casa_pareada,100.0,no aplica,100.0,calefont glp,100.0,casa_pareada | f | sup_mediana 54 m2 | calef: no aplica | acs: calefont glp
27,134,1.34,46.2,48.861194029850736,46.2,48.3,1.7,1.693283582089552,1.7,1.7,1.7,1.693283582089552,1.7,1.7,0.38,0.376641791044776,0.38,0.38,0.38,0.376641791044776,0.38,0.38,f,100.0,casa_pareada,100.0,no posee,100.0,calefont glp,100.0,casa_pareada | f | sup_mediana 46 m2 | calef: no posee | acs: calefont glp
28,129,1.29,40.4,40.32248062015504,30.8,47.0,1.9,1.9000000000000001,1.9,1.9,1.9,1.9000000000000001,1.9,1.9,0.47,0.46999999999999986,0.47,0.47,0.47,0.46999999999999986,0.47,0.47,d,100.0,depto,100.0,no posee,100.0,caldera de condensación,96.12403100775194,depto | d | sup_mediana 40 m2 | calef: no posee | acs: caldera de condensación
29,63,0.63,52.3,50.842857142857156,48.15,52.3,1.7,1.661904761904762,1.6,1.7,1.7,1.661904761904762,1.6,1.7,0.38,0.3609523809523808,0.33,0.38,0.38,0.3609523809523808,0.33,0.38,f,100.0,depto,100.0,no posee,100.0,calefont glp,100.0,depto | f | sup_mediana 52 m2 | calef: no posee | acs: calefont glp
30,60,0.6,31.15,34.30166666666666,30.5,39.5,1.9,1.9000000000000006,1.9,1.9,1.9,1.9000000000000006,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,d,100.0,depto,100.0,no posee,100.0,caldera central a gas,85.0,depto | d | sup_mediana 31 m2 | calef: no posee | acs: caldera central a gas
31,53,0.53,45.7,46.72641509433962,42.4,49.5,1.7,1.7000000000000002,1.7,1.7,1.7,1.7000000000000002,1.7,1.7,0.38,0.3799999999999999,0.38,0.38,0.38,0.3799999999999999,0.38,0.38,f,100.0,depto,100.0,no posee,100.0,calefont 7 litros tiro forzado,100.0,depto | f | sup_mediana 46 m2 | calef: no posee | acs: calefont 7 litros tiro forzado
32,78,0.7799999999999999,49.4,47.011538461538464,44.050000000000004,52.075,1.6,1.5999999999999994,1.6,1.6,1.6,1.5999999999999994,1.6,1.6,0.33,0.3299999999999999,0.33,0.33,0.33,0.3299999999999999,0.33,0.33,f,100.0,depto,100.0,no posee,100.0,calefont 7 litros tiro forzado,100.0,depto | f | sup_mediana 49 m2 | calef: no posee | acs: calefont 7 litros tiro forzado
33,192,1.92,68.5,78.09114583333333,63.1,87.1,1.9,1.8437499999999993,1.7,1.9,1.9,1.8437499999999993,1.7,1.9,0.47,0.44468749999999985,0.38,0.47,0.47,0.44468749999999985,0.38,0.47,d,86.97916666666666,casa_aislada,100.0,no posee,100.0,calefont 7 litros tiro forzado,97.39583333333334,casa_aislada | d | sup_mediana 68 m2 | calef: no posee | acs: calefont 7 litros tiro forzado
34,60,0.6,47.0,48.03,47.0,47.0,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,0.38,0.3799999999999999,0.38,0.38,0.38,0.3799999999999999,0.38,0.38,e,100.0,casa_pareada,100.0,no posee,100.0,calefont 7 litros tiro forzado,100.0,casa_pareada | e | sup_mediana 47 m2 | calef: no posee | acs: calefont 7 litros tiro forzado
35,61,0.61,57.8,60.05573770491804,57.8,63.1,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,0.38,0.3799999999999999,0.38,0.38,0.38,0.3799999999999999,0.38,0.38,e,100.0,depto,100.0,sin sistema,98.36065573770492,calefont,42.62295081967213,depto | e | sup_mediana 58 m2 | calef: sin sistema | acs: calefont
