cluster_hdbscan,variable,count,media,mediana,desviacion_estandar,minimo,p25,p75,maximo,coeficiente_variacion
26,u_norm_techo_secundario,56,0.3469642857142857,0.33,0.02388758847428687,0.33,0.33,0.38,0.38,0.06884739858775424
27,superficie_util,134,48.861194029850736,46.2,4.363690072034918,46.1,46.2,48.3,60.8,0.08930788857449966
27,u_norm_muro_principal,134,1.693283582089552,1.7,0.025124535514443196,1.6,1.7,1.7,1.7,0.014837760065823661
27,u_norm_muro_secundario,134,1.693283582089552,1.7,0.025124535514443196,1.6,1.7,1.7,1.7,0.014837760065823661
27,u_norm_techo_principal,134,0.376641791044776,0.38,0.012562267757221612,0.33,0.38,0.38,0.38,0.03335335604255392
27,u_norm_techo_secundario,134,0.376641791044776,0.38,0.012562267757221612,0.33,0.38,0.38,0.38,0.03335335604255392
28,superficie_util,129,40.32248062015504,40.4,14.015199563275923,17.3,30.8,47.0,101.1,0.3475778113777672
28,u_norm_muro_principal,129,1.9000000000000001,1.9,2.2291027918243403e-16,1.9,1.9,1.9,1.9,1.1732119956970212e-16
28,u_norm_muro_secundario,129,1.9000000000000001,1.9,2.2291027918243403e-16,1.9,1.9,1.9,1.9,1.1732119956970212e-16
28,u_norm_techo_principal,129,0.46999999999999986,0.47,1.1145513959121702e-16,0.47,0.47,0.47,0.47,2.371385948749299e-16
28,u_norm_techo_secundario,129,0.46999999999999986,0.47,1.1145513959121702e-16,0.47,0.47,0.47,0.47,2.371385948749299e-16
29,superficie_util,63,50.842857142857156,52.3,2.5209262433526205,47.7,48.15,52.3,57.6,0.049582702173274346
29,u_norm_muro_principal,63,1.661904761904762,1.7,0.04895215382447737,1.6,1.6,1.7,1.7,0.02945545072533022
29,u_norm_muro_secundario,63,1.661904761904762,1.7,0.04895215382447737,1.6,1.6,1.7,1.7,0.02945545072533022
29,u_norm_techo_principal,63,0.3609523809523808,0.38,0.024476076912238708,0.33,0.33,0.38,0.38,0.06780971176213893
29,u_norm_techo_secundario,63,0.3609523809523808,0.38,0.024476076912238708,0.33,0.33,0.38,0.38,0.06780971176213893
30,superficie_util,60,34.30166666666666,31.15,6.226664685635852,19.1,30.5,39.5,46.6,0.1815265930412279
30,u_norm_muro_principal,60,1.9000000000000006,1.9,6.717552968410844e-16,1.9,1.9,1.9,1.9,3.5355541939004427e-16
30,u_norm_muro_secundario,60,1.9000000000000006,1.9,6.717552968410844e-16,1.9,1.9,1.9,1.9,3.5355541939004427e-16
30,u_norm_techo_principal,60,0.4699999999999998,0.47,1.679388242102711e-16,0.47,0.47,0.47,0.47,3.573166472558961e-16
30,u_norm_techo_secundario,60,0.4699999999999998,0.47,1.679388242102711e-16,0.47,0.47,0.47,0.47,3.573166472558961e-16
31,superficie_util,53,46.72641509433962,45.7,6.56295404124241,31.9,42.4,49.5,65.3,0.14045490175079658
31,u_norm_muro_principal,53,1.7000000000000002,1.7,2.241694820950898e-16,1.7,1.7,1.7,1.7,1.3186440123240577e-16
31,u_norm_muro_secundario,53,1.7000000000000002,1.7,2.241694820950898e-16,1.7,1.7,1.7,1.7,1.3186440123240577e-16
31,u_norm_techo_principal,53,0.3799999999999999,0.38,1.120847410475449e-16,0.38,0.38,0.38,0.38,2.949598448619604e-16
31,u_norm_techo_secundario,53,0.3799999999999999,0.38,1.120847410475449e-16,0.38,0.38,0.38,0.38,2.949598448619604e-16
32,superficie_util,78,47.011538461538464,49.4,8.162664143163425,17.5,44.050000000000004,52.075,74.3,0.17363107888591103
32,u_norm_muro_principal,78,1.5999999999999994,1.6,6.704454055131267e-16,1.6,1.6,1.6,1.6,4.1902837844570437e-16
32,u_norm_muro_secundario,78,1.5999999999999994,1.6,6.704454055131267e-16,1.6,1.6,1.6,1.6,4.1902837844570437e-16
32,u_norm_techo_principal,78,0.3299999999999999,0.33,1.1174090091885446e-16,0.33,0.33,0.33,0.33,3.3860879066319543e-16
32,u_norm_techo_secundario,78,0.3299999999999999,0.33,1.1174090091885446e-16,0.33,0.33,0.33,0.33,3.3860879066319543e-16
33,superficie_util,192,78.09114583333333,68.5,26.618046367032075,46.5,63.1,87.1,194.0,0.3408586989342154
