cluster_hdbscan,variable,categoria,frecuencia,pct_cluster,n_categorias
27,tipo_inmueble,casa_pareada,134,100.0,1
27,calef_proyec,no posee,134,100.0,1
27,acs_proyec,calefont glp,134,100.0,1
28,zona_termica,d,129,100.0,1
28,tipo_inmueble,depto,129,100.0,1
28,calef_proyec,no posee,129,100.0,1
28,acs_proyec,caldera de condensación,124,96.12403100775194,6
28,acs_proyec,"calefont 10 litros tiro forzado, gas natural",1,0.7751937984496124,6
28,acs_proyec,"el edificio cuenta con 5 calderas de gas natural, riello condexa",1,0.7751937984496124,6
28,acs_proyec,caldera a gas centralizada,1,0.7751937984496124,6
28,acs_proyec,"en definición, se utiliza por defecto en precalificación.",1,0.7751937984496124,6
28,acs_proyec,el edificio cuenta con 2 calderas sime 2r10 de 154.500 kcal/h,1,0.7751937984496124,6
29,zona_termica,f,63,100.0,1
29,tipo_inmueble,depto,63,100.0,1
29,calef_proyec,no posee,63,100.0,1
29,acs_proyec,calefont glp,63,100.0,1
30,zona_termica,d,60,100.0,1
30,tipo_inmueble,depto,60,100.0,1
30,calef_proyec,no posee,60,100.0,1
30,acs_proyec,caldera central a gas,51,85.0,6
30,acs_proyec,central térmica con bomba de calor,3,5.0,6
30,acs_proyec,caldera rinnai sm 175,3,5.0,6
30,acs_proyec,caldera a gas centralizada,1,1.6666666666666667,6
30,acs_proyec,caldera a condensaciòn,1,1.6666666666666667,6
30,acs_proyec,el edificio cuenta con 4 calderas a gas natural de condensación,1,1.6666666666666667,6
31,zona_termica,f,53,100.0,1
31,tipo_inmueble,depto,53,100.0,1
31,calef_proyec,no posee,53,100.0,1
31,acs_proyec,calefont 7 litros tiro forzado,53,100.0,1
32,zona_termica,f,78,100.0,1
32,tipo_inmueble,depto,78,100.0,1
32,calef_proyec,no posee,78,100.0,1
32,acs_proyec,calefont 7 litros tiro forzado,78,100.0,1
33,zona_termica,d,167,86.97916666666666,2
33,zona_termica,e,25,13.020833333333334,2
33,tipo_inmueble,casa_aislada,192,100.0,1
33,calef_proyec,no posee,192,100.0,1
33,acs_proyec,calefont 7 litros tiro forzado,187,97.39583333333334,2
33,acs_proyec,calefont 13 litros tiro forzado,5,2.604166666666667,2
34,zona_termica,e,60,100.0,1
34,tipo_inmueble,casa_pareada,60,100.0,1
34,calef_proyec,no posee,60,100.0,1
34,acs_proyec,calefont 7 litros tiro forzado,60,100.0,1
35,zona_termica,e,61,100.0,1
35,tipo_inmueble,depto,61,100.0,1
35,calef_proyec,sin sistema,60,98.36065573770492,2
35,calef_proyec,no posee,1,1.639344262295082,2
35,acs_proyec,calefont,26,42.62295081967213,4
35,acs_proyec,calefont tiro forzado 13 lts,24,39.34426229508197,4
35,acs_proyec,calefont tiro forzado 10 litros,7,11.475409836065573,4
35,acs_proyec,calefon,4,6.557377049180328,4
36,zona_termica,d,107,100.0,1
36,tipo_inmueble,casa_pareada,107,100.0,1
36,calef_proyec,no posee,107,100.0,1
36,acs_proyec,calefont 10 litros tiro forzado,107,100.0,1
37,zona_termica,d,76,100.0,1
37,tipo_inmueble,depto,76,100.0,1
37,calef_proyec,no posee,76,100.0,1
37,acs_proyec,calefont glp,76,100.0,1
38,zona_termica,d,139,100.0,1
38,tipo_inmueble,depto,139,100.0,1
38,calef_proyec,no posee,139,100.0,1
38,acs_proyec,central termica,89,64.02877697841727,11
38,acs_proyec,central térmica,33,23.741007194244602,11
38,acs_proyec,calefón con condensación,5,3.597122302158273,11
38,acs_proyec,termo eléctrico marca winter 80 litros.,3,2.158273381294964,11
38,acs_proyec,5 calderas de gas natural genus premium evo hp 150 de 140,2,1.4388489208633095,11
38,acs_proyec,calderas de condensación,2,1.4388489208633095,11
38,acs_proyec,el edificio cuenta con 4 calderas tipo mural de condensación,1,0.7194244604316548,11
38,acs_proyec,caldera mural de condensación,1,0.7194244604316548,11
38,acs_proyec,central termica bomba calor aerotermica - electricidad,1,0.7194244604316548,11
38,acs_proyec,el edificio cuenta con 4 calderas a gas natural de condensación,1,0.7194244604316548,11
39,zona_termica,d,85,100.0,1
39,tipo_inmueble,casa_pareada,85,100.0,1
39,calef_proyec,no posee,85,100.0,1
