cluster_hdbscan,variable,moda,frecuencia_moda,pct_moda,n_categorias,top_categorias
28,acs_proyec,caldera de condensación,124,96.12403100775194,6,"caldera de condensación: 124 (96.1%); calefont 10 litros tiro forzado, gas natural: 1 (0.8%); el edificio cuenta con 5 calderas de gas natural, riello condexa: 1 (0.8%); caldera a gas centralizada: 1 (0.8%); en definición, se utiliza por defecto en precalificación.: 1 (0.8%); el edificio cuenta con 2 calderas sime 2r10 de 154.500 kcal/h: 1 (0.8%)"
29,zona_termica,f,63,100.0,1,f: 63 (100.0%)
29,tipo_inmueble,depto,63,100.0,1,depto: 63 (100.0%)
29,calef_proyec,no posee,63,100.0,1,no posee: 63 (100.0%)
29,acs_proyec,calefont glp,63,100.0,1,calefont glp: 63 (100.0%)
30,zona_termica,d,60,100.0,1,d: 60 (100.0%)
30,tipo_inmueble,depto,60,100.0,1,depto: 60 (100.0%)
30,calef_proyec,no posee,60,100.0,1,no posee: 60 (100.0%)
30,acs_proyec,caldera central a gas,51,85.0,6,caldera central a gas: 51 (85.0%); central térmica con bomba de calor: 3 (5.0%); caldera rinnai sm 175: 3 (5.0%); caldera a gas centralizada: 1 (1.7%); caldera a condensaciòn: 1 (1.7%); el edificio cuenta con 4 calderas a gas natural de condensación: 1 (1.7%)
31,zona_termica,f,53,100.0,1,f: 53 (100.0%)
31,tipo_inmueble,depto,53,100.0,1,depto: 53 (100.0%)
31,calef_proyec,no posee,53,100.0,1,no posee: 53 (100.0%)
31,acs_proyec,calefont 7 litros tiro forzado,53,100.0,1,calefont 7 litros tiro forzado: 53 (100.0%)
32,zona_termica,f,78,100.0,1,f: 78 (100.0%)
32,tipo_inmueble,depto,78,100.0,1,depto: 78 (100.0%)
32,calef_proyec,no posee,78,100.0,1,no posee: 78 (100.0%)
32,acs_proyec,calefont 7 litros tiro forzado,78,100.0,1,calefont 7 litros tiro forzado: 78 (100.0%)
33,zona_termica,d,167,86.97916666666666,2,d: 167 (87.0%); e: 25 (13.0%)
33,tipo_inmueble,casa_aislada,192,100.0,1,casa_aislada: 192 (100.0%)
33,calef_proyec,no posee,192,100.0,1,no posee: 192 (100.0%)
33,acs_proyec,calefont 7 litros tiro forzado,187,97.39583333333334,2,calefont 7 litros tiro forzado: 187 (97.4%); calefont 13 litros tiro forzado: 5 (2.6%)
34,zona_termica,e,60,100.0,1,e: 60 (100.0%)
34,tipo_inmueble,casa_pareada,60,100.0,1,casa_pareada: 60 (100.0%)
34,calef_proyec,no posee,60,100.0,1,no posee: 60 (100.0%)
34,acs_proyec,calefont 7 litros tiro forzado,60,100.0,1,calefont 7 litros tiro forzado: 60 (100.0%)
35,zona_termica,e,61,100.0,1,e: 61 (100.0%)
35,tipo_inmueble,depto,61,100.0,1,depto: 61 (100.0%)
35,calef_proyec,sin sistema,60,98.36065573770492,2,sin sistema: 60 (98.4%); no posee: 1 (1.6%)
35,acs_proyec,calefont,26,42.62295081967213,4,calefont: 26 (42.6%); calefont tiro forzado 13 lts: 24 (39.3%); calefont tiro forzado 10 litros: 7 (11.5%); calefon: 4 (6.6%)
36,zona_termica,d,107,100.0,1,d: 107 (100.0%)
36,tipo_inmueble,casa_pareada,107,100.0,1,casa_pareada: 107 (100.0%)
36,calef_proyec,no posee,107,100.0,1,no posee: 107 (100.0%)
36,acs_proyec,calefont 10 litros tiro forzado,107,100.0,1,calefont 10 litros tiro forzado: 107 (100.0%)
37,zona_termica,d,76,100.0,1,d: 76 (100.0%)
37,tipo_inmueble,depto,76,100.0,1,depto: 76 (100.0%)
37,calef_proyec,no posee,76,100.0,1,no posee: 76 (100.0%)
37,acs_proyec,calefont glp,76,100.0,1,calefont glp: 76 (100.0%)
38,zona_termica,d,139,100.0,1,d: 139 (100.0%)
38,tipo_inmueble,depto,139,100.0,1,depto: 139 (100.0%)
38,calef_proyec,no posee,139,100.0,1,no posee: 139 (100.0%)
38,acs_proyec,central termica,89,64.02877697841727,11,central termica: 89 (64.0%); central térmica: 33 (23.7%); calefón con condensación: 5 (3.6%); termo eléctrico marca winter 80 litros.: 3 (2.2%); 5 calderas de gas natural genus premium evo hp 150 de 140: 2 (1.4%); calderas de condensación: 2 (1.4%); el edificio cuenta con 4 calderas tipo mural de condensación: 1 (0.7%); caldera mural de condensación: 1 (0.7%)
39,zona_termica,d,85,100.0,1,d: 85 (100.0%)
39,tipo_inmueble,casa_pareada,85,100.0,1,casa_pareada: 85 (100.0%)
39,calef_proyec,no posee,85,100.0,1,no posee: 85 (100.0%)
39,acs_proyec,calefont glp,85,100.0,1,calefont glp: 85 (100.0%)
40,zona_termica,d,151,100.0,1,d: 151 (100.0%)
40,tipo_inmueble,casa_pareada,151,100.0,1,casa_pareada: 151 (100.0%)
40,calef_proyec,no posee,151,100.0,1,no posee: 151 (100.0%)
40,acs_proyec,calefont glp,151,100.0,1,calefont glp: 151 (100.0%)
41,zona_termica,d,112,100.0,1,d: 112 (100.0%)
41,tipo_inmueble,casa_pareada,112,100.0,1,casa_pareada: 112 (100.0%)
41,calef_proyec,no posee,112,100.0,1,no posee: 112 (100.0%)
41,acs_proyec,calefont 7 litros tiro forzado,112,100.0,1,calefont 7 litros tiro forzado: 112 (100.0%)
42,zona_termica,d,63,100.0,1,d: 63 (100.0%)
42,tipo_inmueble,casa_pareada,63,100.0,1,casa_pareada: 63 (100.0%)
42,calef_proyec,no posee,63,100.0,1,no posee: 63 (100.0%)
42,acs_proyec,calefont 7 litros tiro forzado,63,100.0,1,calefont 7 litros tiro forzado: 63 (100.0%)
43,zona_termica,d,97,100.0,1,d: 97 (100.0%)
43,tipo_inmueble,casa_pareada,97,100.0,1,casa_pareada: 97 (100.0%)
43,calef_proyec,no posee,97,100.0,1,no posee: 97 (100.0%)
43,acs_proyec,calefont 7 litros tiro forzado,97,100.0,1,calefont 7 litros tiro forzado: 97 (100.0%)
44,zona_termica,d,181,100.0,1,d: 181 (100.0%)
44,tipo_inmueble,depto,181,100.0,1,depto: 181 (100.0%)
44,calef_proyec,no posee,181,100.0,1,no posee: 181 (100.0%)
44,acs_proyec,calefont glp,181,100.0,1,calefont glp: 181 (100.0%)
45,zona_termica,d,59,100.0,1,d: 59 (100.0%)
45,tipo_inmueble,casa_pareada,59,100.0,1,casa_pareada: 59 (100.0%)
45,calef_proyec,no posee,59,100.0,1,no posee: 59 (100.0%)
45,acs_proyec,calefont 7 litros tiro forzado,59,100.0,1,calefont 7 litros tiro forzado: 59 (100.0%)
46,zona_termica,d,50,100.0,1,d: 50 (100.0%)
46,tipo_inmueble,casa_pareada,50,100.0,1,casa_pareada: 50 (100.0%)
46,calef_proyec,no posee,50,100.0,1,no posee: 50 (100.0%)
46,acs_proyec,calefont 7 litros tiro forzado,50,100.0,1,calefont 7 litros tiro forzado: 50 (100.0%)
47,zona_termica,d,53,100.0,1,d: 53 (100.0%)
47,tipo_inmueble,depto,53,100.0,1,depto: 53 (100.0%)
47,calef_proyec,no posee,53,100.0,1,no posee: 53 (100.0%)
47,acs_proyec,calefont glp,53,100.0,1,calefont glp: 53 (100.0%)
48,zona_termica,d,71,100.0,1,d: 71 (100.0%)
48,tipo_inmueble,depto,71,100.0,1,depto: 71 (100.0%)
48,calef_proyec,no posee,71,100.0,1,no posee: 71 (100.0%)
48,acs_proyec,calefont glp,71,100.0,1,calefont glp: 71 (100.0%)
49,zona_termica,d,82,100.0,1,d: 82 (100.0%)
49,tipo_inmueble,depto,82,100.0,1,depto: 82 (100.0%)
49,calef_proyec,no posee,82,100.0,1,no posee: 82 (100.0%)
49,acs_proyec,calefont glp,82,100.0,1,calefont glp: 82 (100.0%)
50,zona_termica,d,216,99.53917050691244,2,d: 216 (99.5%); e: 1 (0.5%)
50,tipo_inmueble,depto,217,100.0,1,depto: 217 (100.0%)
50,calef_proyec,no posee,153,70.50691244239631,3,no posee: 153 (70.5%); sin sistema: 48 (22.1%); no considera: 16 (7.4%)
50,acs_proyec,calefont,156,71.88940092165899,7,"calefont: 156 (71.9%); calefon de condensación: 29 (13.4%); calentamiento de agua con caldera a condensación: 19 (8.8%); calefont tiro forzado 13 lts splendid modelo mvg tfi 13: 10 (4.6%); calefont tiro forzado 10 litros: 1 (0.5%); por definir, por defecto.: 1 (0.5%); calefacción central mediante caldera de condensación: 1 (0.5%)"
51,zona_termica,c,67,100.0,1,c: 67 (100.0%)
51,tipo_inmueble,depto,67,100.0,1,depto: 67 (100.0%)
51,calef_proyec,no posee,67,100.0,1,no posee: 67 (100.0%)
51,acs_proyec,calefont 7 litros tiro forzado,64,95.52238805970148,3,"calefont 7 litros tiro forzado: 64 (95.5%); calefont: 2 (3.0%); calefont splendid 10 litros, gas licuado: 1 (1.5%)"
52,zona_termica,d,90,100.0,1,d: 90 (100.0%)
52,tipo_inmueble,depto,90,100.0,1,depto: 90 (100.0%)
52,calef_proyec,no posee,90,100.0,1,no posee: 90 (100.0%)
52,acs_proyec,caldera con condensación,89,98.88888888888889,2,caldera con condensación: 89 (98.9%); central térmica con bomba de calor: 1 (1.1%)
53,zona_termica,d,89,100.0,1,d: 89 (100.0%)
53,tipo_inmueble,depto,89,100.0,1,depto: 89 (100.0%)
53,calef_proyec,no considera,89,100.0,1,no considera: 89 (100.0%)
53,acs_proyec,caldera con condensación,89,100.0,1,caldera con condensación: 89 (100.0%)
54,zona_termica,e,190,100.0,1,e: 190 (100.0%)
54,tipo_inmueble,depto,190,100.0,1,depto: 190 (100.0%)
54,calef_proyec,no posee,190,100.0,1,no posee: 190 (100.0%)
54,acs_proyec,calefont 7 litros tiro forzado,190,100.0,1,calefont 7 litros tiro forzado: 190 (100.0%)
55,zona_termica,d,82,100.0,1,d: 82 (100.0%)
55,tipo_inmueble,depto,82,100.0,1,depto: 82 (100.0%)
55,calef_proyec,no posee,82,100.0,1,no posee: 82 (100.0%)
55,acs_proyec,calefont 7 litros tiro forzado,82,100.0,1,calefont 7 litros tiro forzado: 82 (100.0%)
56,zona_termica,d,85,100.0,1,d: 85 (100.0%)
56,tipo_inmueble,depto,85,100.0,1,depto: 85 (100.0%)
56,calef_proyec,no posee,85,100.0,1,no posee: 85 (100.0%)
56,acs_proyec,calefont 7 litros tiro forzado,85,100.0,1,calefont 7 litros tiro forzado: 85 (100.0%)
57,zona_termica,d,62,100.0,1,d: 62 (100.0%)
57,tipo_inmueble,depto,62,100.0,1,depto: 62 (100.0%)
57,calef_proyec,no posee,62,100.0,1,no posee: 62 (100.0%)
57,acs_proyec,calefont 7 litros tiro forzado,62,100.0,1,calefont 7 litros tiro forzado: 62 (100.0%)
58,zona_termica,d,68,100.0,1,d: 68 (100.0%)
58,tipo_inmueble,depto,68,100.0,1,depto: 68 (100.0%)
58,calef_proyec,no posee,68,100.0,1,no posee: 68 (100.0%)
58,acs_proyec,calefont 7 litros tiro forzado,68,100.0,1,calefont 7 litros tiro forzado: 68 (100.0%)
59,zona_termica,d,63,100.0,1,d: 63 (100.0%)
59,tipo_inmueble,depto,63,100.0,1,depto: 63 (100.0%)
59,calef_proyec,no posee,63,100.0,1,no posee: 63 (100.0%)
59,acs_proyec,calefont 7 litros tiro forzado,63,100.0,1,calefont 7 litros tiro forzado: 63 (100.0%)
60,zona_termica,d,125,100.0,1,d: 125 (100.0%)
60,tipo_inmueble,depto,125,100.0,1,depto: 125 (100.0%)
60,calef_proyec,no posee,125,100.0,1,no posee: 125 (100.0%)
60,acs_proyec,calefont 7 litros tiro forzado,125,100.0,1,calefont 7 litros tiro forzado: 125 (100.0%)
61,zona_termica,d,85,100.0,1,d: 85 (100.0%)
61,tipo_inmueble,depto,85,100.0,1,depto: 85 (100.0%)
61,calef_proyec,no posee,85,100.0,1,no posee: 85 (100.0%)
61,acs_proyec,calefont 7 litros tiro forzado,85,100.0,1,calefont 7 litros tiro forzado: 85 (100.0%)
