cluster_hdbscan,n,silhouette_media,silhouette_mediana,silhouette_min,silhouette_p25,silhouette_p75,silhouette_max,pct_silhouette_negativo
38,139,0.43875186790593895,0.609216588630208,-0.03728978504651013,0.21279092648021253,0.6183468222723363,0.6193317488385948,6.474820143884892
39,85,0.6934868806585054,0.7555179924372217,0.3087610947166302,0.7047420441293661,0.7906881927571131,0.8079956672101449,0.0
40,151,0.8787347570283665,0.9248067036424922,0.4276805124735153,0.9207130249609017,0.9378263214988737,0.9378263214988737,0.0
41,112,1.0,1.0,1.0,1.0,1.0,1.0,0.0
42,63,0.850118069717003,0.8477132774205501,0.2855242530445809,0.8137110123589305,0.9038759897432824,0.9038759897432824,0.0
43,97,0.6688261013904729,0.6942274659365559,0.14201650485520856,0.6069775738328926,0.7351052354355677,0.7623474011113425,0.0
44,181,0.796335350969647,0.8773315946124768,-0.18921904586180271,0.7815588564663754,0.8894550636029688,0.8894550636029688,0.5524861878453038
45,59,0.8764655306526871,0.9040338305180152,0.7556843977485342,0.8590585682531411,0.9040338305180152,0.9040338305180152,0.0
46,50,0.8192561818208037,0.8903790055568679,0.6546310702821965,0.8044613240852101,0.8903790055568679,0.8903790055568679,0.0
47,53,0.9646728608059588,0.9847230276277485,0.19786567320738696,0.9847230276277485,0.9847230276277485,0.9847230276277485,0.0
48,71,0.5915579776220841,0.5895724808306034,0.4953375460063673,0.5895724808306034,0.6108210990725944,0.6108210990725944,0.0
49,82,0.6042931356632885,0.594874998096828,0.49572361948800814,0.594874998096828,0.627217280936405,0.627217280936405,0.0
50,217,0.18237159921374757,0.37158193269615647,-0.4653316575582056,-0.1728770415558277,0.3817604172135794,0.42274897190879235,30.87557603686636
51,67,0.9048132583365012,0.9281339689399903,0.49124246226037915,0.9255785219216405,0.9313787489369822,0.9330644101102787,0.0
52,90,0.9392165205735232,0.9521535835833067,-0.040812276201246944,0.9452833230847688,0.9599476349777024,0.9613152019452614,1.1111111111111112
53,89,0.9646844171671468,0.9687608426636184,0.9107583742663485,0.9629681460371511,0.9717038584456534,0.9730369884976824,0.0
54,190,0.9558021940351604,0.9619696410480009,0.8805198418480709,0.9509232843626922,0.9665257325538211,0.967741547439014,0.0
55,82,0.9840156700015084,0.9870502680122903,0.913386969100031,0.9820013078419688,0.9886721107275306,0.9890610205319159,0.0
56,85,0.9681138087888447,0.9747998302027644,0.8786046868764212,0.969017018762716,0.9800524445184238,0.9800524445184238,0.0
57,62,0.8327899753321176,0.8839817452355918,0.2308953240555949,0.8215659613669879,0.8924052714160047,0.897272381543883,0.0
58,68,0.7748752885104837,0.8186684667188842,0.5295625188254776,0.7140553350241101,0.8431672027043499,0.8457691600809524,0.0
59,63,0.6565646280955064,0.6572580481911382,0.1532258523108874,0.6572580481911382,0.6957477832876657,0.701216283954089,0.0
60,125,0.49830760512110506,0.5996961112228455,-0.4738843941584623,0.47717332524054085,0.6977656185752421,0.7057309628904421,8.799999999999999
61,85,0.925529909618775,0.9579081625567615,0.20312504190556943,0.9579081625567615,0.9579081625567615,0.9579081625567615,0.0
